"","MISSIONID","REGION","REGION_NAME","ISLAND","ISLANDCODE","REEF_ZONE","DEPTH_BIN","YEAR","DATE_","NO_SURVEY_YN","SITEVISITID","SITE","DIVER","TRANSECT","SEGMENT","SEGWIDTH","SEGLENGTH","Fragment","COLONYID","SPCODE","MORPHOLOGY","COLONYLENGTH","OLDDEAD","RDEXTENT1","GENRD1","RD1","RDEXTENT2","GENRD2","RD2","GENRD3","RD3","RDEXTENT3","CONDITION_1","CONDITION_2","CONDITION_3","EXTENT_1","EXTENT_2","EXTENT_3","SEVERITY_1","SEVERITY_2","SEVERITY_3","GENUS_CODE","S_ORDER","TAXONNAME","LATITUDE","LONGITUDE","SEC_NAME","ANALYSIS_YEAR","bANALYSIS_SCHEME","MIN_DEPTH_M","MAX_DEPTH_M","TAXONCODE","TRANSECTAREA","PER_DEAD","Area_surveyed_m2","logCOLONYLENGTH","TAIL_BINS"
"14","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,10,1,2.5,NA,440064,"ISSP","Encrusting (mounding)",6,0,0,"","",0,"","","","",0,"BLE","","",10,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,0,10,1.79175946922805,"Q20"
"15","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,10,1,2.5,NA,440072,"ISSP","Encrusting (mounding)",29,10,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,10,10,3.36729582998647,"QMED"
"16","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-28 00:00:00",0,8599,"TUT-01795","BDS",1,10,1,2.5,NA,438577,"ISSP","Plating",42,10,0,"","",0,"","","","",0,"TIN","","",2,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,10,10,3.73766961828337,"Q80"
"17","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-28 00:00:00",0,8599,"TUT-01795","BDS",1,10,1,2.5,NA,438578,"ISSP","Plating",16,0,0,"","",0,"","","","",0,"TIN","","",1,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,0,10,2.77258872223978,"QMED"
"18","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-28 00:00:00",0,8599,"TUT-01795","BVA",2,5,1,2.5,NA,438526,"ISSP","Encrusting (mounding)",11,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,0,10,2.39789527279837,"Q20"
"19","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-28 00:00:00",0,8599,"TUT-01795","BVA",2,5,1,2.5,NA,438553,"ISSP","Encrusting (mounding)",22,15,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,15,10,3.09104245335832,"QMED"
"20","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-28 00:00:00",0,8599,"TUT-01795","JDG",1,15,1,2.5,NA,438455,"ISSP","Encrusting (mounding)",15,0,0,"","",0,"","","","",0,"BLE","","",10,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,0,10,2.70805020110221,"QMED"
"21","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-28 00:00:00",0,8599,"TUT-01795","JDG",1,15,1,2.5,NA,438463,"ISSP","Encrusting (mounding)",29,0,0,"","",0,"","","","",0,"BLE","","",20,NA,NA,2,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,0,10,3.36729582998647,"QMED"
"22","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-28 00:00:00",0,8599,"TUT-01795","JDG",1,15,1,2.5,NA,438464,"ISSP","Encrusting (mounding)",12,0,0,"","",0,"","","","",0,"BLE","","",20,NA,NA,2,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,0,10,2.484906649788,"Q20"
"23","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8631,"TUT-01855","MAR",2,15,1,2.5,NA,439289,"ISSP","Plating",20,5,0,"","",0,"","","","",0,"BLE","","",70,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28335,-170.5627,"TUT_NE_OPEN","2015","BEN_SEC2015",11.27705,14.02012,"ISSP",10,5,10,2.99573227355399,"QMED"
"24","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-02 00:00:00",0,8186,"TUT-01858","FL",1,0,1,2.5,NA,415504,"ISSP","Encrusting (mounding)",26,10,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28371,-170.6284,"TUT_SE_OPEN","2015","BEN_SEC2015",13.71533,15.84883,"ISSP",10,10,10,3.25809653802148,"QMED"
"25","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-02 00:00:00",0,8186,"TUT-01858","FL",1,0,1,2.5,NA,415514,"ISSP","Plating",25,20,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28371,-170.6284,"TUT_SE_OPEN","2015","BEN_SEC2015",13.71533,15.84883,"ISSP",10,20,10,3.2188758248682,"QMED"
"26","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",1,10,1,2.5,NA,439826,"ISSP","Encrusting (mounding)",73,5,0,"","",0,"","","","",0,"BLE","","",95,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,5,10,4.29045944114839,"Q80"
"27","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440099,"ISSP","Encrusting (mounding)",16,3,0,"","",0,"","","","",0,"BLE","","",97,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,3,10,2.77258872223978,"QMED"
"28","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440101,"ISSP","Encrusting (mounding)",41,5,0,"","",0,"","","","",0,"BLE","","",95,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,5,10,3.71357206670431,"Q80"
"29","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440103,"ISSP","Encrusting (mounding)",9,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,0,10,2.19722457733622,"Q20"
"30","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440111,"ISSP","Encrusting (mounding)",5,20,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,20,10,1.6094379124341,"Q20"
"31","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440119,"ISSP","Encrusting (mounding)",8,10,0,"","",0,"","","","",0,"BLE","","",90,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,10,10,2.07944154167984,"Q20"
"32","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440122,"ISSP","Encrusting (mounding)",27,3,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,3,10,3.29583686600433,"QMED"
"33","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440124,"ISSP","Encrusting (mounding)",28,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,0,10,3.3322045101752,"QMED"
"34","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440125,"ISSP","Encrusting (mounding)",26,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,0,10,3.25809653802148,"QMED"
"35","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440140,"ISSP","Encrusting (mounding)",9,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,0,10,2.19722457733622,"Q20"
"36","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","JDG",1,5,1,2.5,NA,440818,"ISSP","Encrusting (mounding)",14,2,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,2,10,2.63905732961526,"QMED"
"37","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","JDG",1,5,1,2.5,NA,440838,"ISSP","Encrusting (mounding)",37,5,0,"","",0,"","","","",0,"BLE","","",50,NA,NA,2,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,5,10,3.61091791264422,"QMED"
"38","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","MAR",1,15,1,2.5,NA,439441,"ISSP","Encrusting (mounding)",13,1,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,1,10,2.56494935746154,"QMED"
"39","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","MAR",1,15,1,2.5,NA,439456,"ISSP","Encrusting (mounding)",40,3,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,3,10,3.68887945411394,"QMED"
"40","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","MAR",1,15,1,2.5,NA,439460,"ISSP","Encrusting (mounding)",20,5,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,5,10,2.99573227355399,"QMED"
"41","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","MAR",1,15,1,2.5,NA,439489,"ISSP","Plating",19,1,0,"","",0,"","","","",0,"BLE","","",60,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,1,10,2.94443897916644,"QMED"
"42","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","MAR",2,5,1,2.5,NA,440481,"ISSP","Encrusting (mounding)",23,3,0,"","",0,"","","","",0,"BLE","","",90,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,3,10,3.13549421592915,"QMED"
"43","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-29 00:00:00",0,8632,"TUT-01872","W_C",2,15,1,2.5,NA,441145,"ICRA","Encrusting (mounding)",6,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora crateriformis",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,0,10,1.79175946922805,"Q20"
"44","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-30 00:00:00",0,8640,"TUT-01878","MAR",1,10,1,2.5,NA,441719,"ISSP","Plating",58,5,3,"UNKN","UNKN",0,"","","","",0,"BLE","","",100,NA,NA,5,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.29355,-170.6533,"TUT_SE_OPEN","2015","BEN_SEC2015",13.10576,17.06797,"ISSP",10,8,10,4.06044301054642,"Q80"
"45","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-02 00:00:00",0,8183,"TUT-01913","BDS",1,10,1,2,NA,415744,"ISSP","Encrusting (mounding)",23,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27307,-170.5708,"TUT_SE_OPEN","2015","BEN_SEC2015",10.66748,11.27705,"ISSP",8.5,0,10,3.13549421592915,"QMED"
"46","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-27 00:00:00",0,8580,"TUT-01962","MAR",1,15,1,2.5,NA,436575,"ISSP","Plating",40,30,0,"","",0,"","","","",0,"BLE","","",95,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.36487,-170.7433,"TUT_FAGALUA","2015","BEN_SEC2015",13.41055,16.76318,"ISSP",10,30,10,3.68887945411394,"QMED"
"47","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-27 00:00:00",0,8580,"TUT-01962","MAR",1,15,1,2.5,NA,436578,"ISSP","Encrusting (mounding)",17,5,0,"","",0,"","","","",0,"BLE","","",70,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.36487,-170.7433,"TUT_FAGALUA","2015","BEN_SEC2015",13.41055,16.76318,"ISSP",10,5,10,2.83321334405622,"QMED"
"48","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-27 00:00:00",0,8580,"TUT-01962","MAR",1,15,1,2.5,NA,436619,"ISSP","Encrusting (mounding)",32,95,0,"","",0,"","","","",0,"BLE","","",100,NA,NA,5,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.36487,-170.7433,"TUT_FAGALUA","2015","BEN_SEC2015",13.41055,16.76318,"ISSP",10,95,10,3.46573590279973,"QMED"
"49","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-27 00:00:00",0,8589,"TUT-02014","HB",1,0,1,2.5,NA,436839,"ISSP","Encrusting (mounding)",12,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.36251,-170.7658,"TUT_FAGATELE","2015","BEN_SEC2015",12.49619,14.62969,"ISSP",10,0,10,2.484906649788,"Q20"
"50","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-27 00:00:00",0,8589,"TUT-02014","HB",1,0,1,2.5,NA,436841,"ISSP","Encrusting (mounding)",11,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.36251,-170.7658,"TUT_FAGATELE","2015","BEN_SEC2015",12.49619,14.62969,"ISSP",10,0,10,2.39789527279837,"Q20"
"51","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-06 00:00:00",0,8287,"TUT-02086","BVA",1,10,1,2.5,NA,419296,"ICRA","Encrusting (mounding)",31,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora crateriformis",-14.3546,-170.7873,"TUT_SW_OPEN","2015","BEN_SEC2015",12.19141,14.62969,"ISSP",10,0,10,3.43398720448515,"QMED"
"52","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-06 00:00:00",0,8287,"TUT-02086","MAR",1,0,1,2.5,NA,418498,"ISSP","Encrusting (mounding)",6,10,5,"PRED","FISH",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.3546,-170.7873,"TUT_SW_OPEN","2015","BEN_SEC2015",12.19141,14.62969,"ISSP",10,15,10,1.79175946922805,"Q20"
"53","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-03-06 00:00:00",0,8287,"TUT-02086","MAR",1,0,1,2.5,NA,418515,"ISSP","Encrusting (mounding)",33,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.3546,-170.7873,"TUT_SW_OPEN","2015","BEN_SEC2015",12.19141,14.62969,"ISSP",10,0,10,3.49650756146648,"QMED"
"54","MP1602","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid",2015,"2015-11-02 00:00:00",0,9247,"TUT-02141","JST",2,10,1,2.5,NA,465038,"ISSP","Encrusting (mounding)",23,0,10,"UNKN","UNKN",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.24711,-170.6693,"VATIA_SO","2015","NO SCHEME",11.27705,14.02012,"ISSP",10,10,10,3.13549421592915,"QMED"
